username,attempts
"MAYA",4
"MEGAN",4
"MILLE",4
"MOLLY",4
"OLDADMINISTRATOR",4
"OLIVE",4
"PHOEBE",4
"POSTGRES",4
"ROSIE",4
"RYAN",4
"SAMUEL",4
"SERVICES",4
"SOPHIA",4
"TESTUSER",4
"WILLOW",4
"ADMIN1",3
"ADMINS",3
"ANHBA",3
"ARLO",3
"AXEL",3
"CAMPAIGNS",3
"CONVIDADO",3
"GOŚĆ",3
"H1DD3NADM1N",3
"HOST3A0",3
"HSTORERDP",3
"INVIT",3
"INVITADO",3
"INVITÉ",3
"MASTER",3
"MOHAMED",3
"NEWUSER",3
"OPENPGSVC",3
"OTTO",3
"RAFE",3
"ROSE",3
"SYSADMIN",3
"SYSTEM16",3
"VENDÉG",3
"WDAGUTILITYACCOUNT",3
"WDAGUTILITYACCOUNTS",3
"WINDOWS32",3
"ГОСТЬ",3
"ADM",2
"BGSYSTEM",2
"FTPUSER",2
"INFORMIX",2
"IRFAN",2
"KBTGT",2
"LOGMEINREMOTEUSER",2
"MARIA",2
"PRAXIS",2
"SYSTEMS",2
"TESTE",2
"USER3",2
"VHOST",2
"XXS",2
"23",1
"3",1
"3XADMIN",1
"6",1
"7",1
"\BG강??GUEST",1
"ACC2",1
"ACCOUNT",1
"ACCOUNTANT",1
"ACCOUNTS",1
"ADMIN123",1
"ADMIN24",1
"ADMIN801",1
"ADMINISRATOR",1
"ADMINISTRATAR",1
"ADMINN",1
"ADMINSTRATOR",1
"ADMINSYS",1
"ADMINX",1
"ADMINXY",1
"AFUI1!",1
"ALINE",1
"ALMOXARIFADO",1
"ALPHAERP",1
"ALTATECH",1
"ANA",1
"ATELIER",1
"ATENDIMENTO",1
"AURES",1
"AUTODESKVAULT",1
"BACKUPSVC",1
"BJIS",1
"BKANUNA",1
"BOTWTV",1
"BRANDON",1
"BVRADMIN",1
"CAJA",1
"CBADMIN",1
"CHPFTP",1
"CLIENT",1
"COMPITS",1
"COMPRAS",1
"COMPRAS1",1
"COMPTOIR2",1
"CYG_SERVER",1
"DBUSER",1
"DEFAULTUSER",1
"DEVLINESERVICEUSER",1
"DRD",1
"E.AKULICH",1
"E.DYAGTEREVA",1
"E.ISMAILOVA",1
"EXSYS",1
"FABIO",1
"FASTWIND",1
"FAX",1
"FD-SERVER",1
"FFTTP",1
"FILIPE",1
"FTP$",1
"FUELDISP",1
"HP03",1
"HR",1
"IESYS",1
"IEUSER",1
"IFXADMIN",1
"ILS_ANONYMOUS_USER",1
"INFO",1
"INTRANET",1
"ITADM",1
"JOHN",1
"JUNIOR",1
"K8H3D",1
"KRBRTGT",1
"KZQO",1
"L.MONAHOVA",1
"LABORATORIO",1
"LIMITED",1
"LINHAVERDE",1
"LOCALADMIN",1
"LOOMIS",1
"MARCOS",1
"MARKETADMIN",1
"MEDICOS",1
"MEKNES_HB",1
"MICHELE",1
"MSSQLSERVER",1
"NEGOZIO5",1
"NETWORK.SERVER",1
"NICK",1
"O.MAZUR",1
"O.SHURINA",1
"OSBIT",1
"OSSUSER",1
"PC2",1
"PLS",1
"PRINTER",1
"PRODUCTION",1
"Q34005",1
"QBPOSDBSRVUSER",1
"R365",1
"RDP",1
"REMOTE1",1
"REMOTE2",1
"REMOTE5",1
"REMOTELIKAR1",1
"ROBERT",1
"SADRAQUE",1
"SGSMARTMAIL",1
"SHIPPING",1
"SIDEXIS4SERVICE",1
"SQLADMIN",1
"STAGIAIRE",1
"SUPPORT1",1
"SUPPORTESE",1
"TERMINAL",1
"TEST1",1
"TESTADMIN",1
"TESTUSER2",1
"TONY",1
"TOSHIBA",1
"USER01",1
"USER4",1
"USER5",1
"USERADM",1
"UTENTE",1
"VAGRANT",1
"VBRRDP",1
"VENTAS1",1
"VIDEO",1
"VPTIA",1
"VULN",1
"WCFUSER",1
"WINSUPPORT",1
"WPSADMIN",1
"XAFSERVICEACCNT",1
"XCALIBUR_SYSTEM",1
"XLSOFTDBA",1
"Y.TATAROV",1
"YY",1
"Z",1
"ZEISS",1
"АДМИН",1
